Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Agnes Mutina,Hungary,24,170,63,F,4/19/1988,Swimming,Women's 200m Freestyle; Women's 4x100m Freestyle Relay; Women's 4x200m Freestyle Relay,,,,
Agnese Allegrini,Italy,30,162,57,F,07/03/1982,Badminton,Women's Singles,,,,
Agnese Pastare,Latvia,23,179,70,F,10/27/1988,Athletics,Women's 20km Race Walk,,,,
Agnieszka Dygacz,Poland,27,160,48,F,7/18/1985,Athletics,Women's 20km Race Walk,,,,
Agnieszka Jerzyk,Poland,24,170,58,F,1/15/1988,Triathlon,Women's Triathlon,,,,
Agnieszka Nagay,Poland,31,169,61,F,2/20/1981,Shooting,Women's 50m Rifle 3 Positions,,,,
Agnieszka Skrzypulec,Poland,23,166,56,F,06/03/1989,Sailing,Women's 470,,,,
Agustin Mazzilli,Argentina,23,173,77,M,6/20/1989,Hockey,Men's Hockey,,,,
Ahed Jughli,Syrian Arab Republic,30,180,105,M,01/10/1982,Weightlifting,Men's 105kg,,,,
Ahmad Hazer,Lebanon,22,188,80,M,09/04/1989,Athletics,Men's 110m Hurdles,,,,
Ahmad Kh A Al-Molad,Saudi Arabia,24,,,M,2/16/1988,Athletics,Men's 110m Hurdles,,,,
Ahmad Saber Hamcho,Syrian Arab Republic,19,168,72,M,11/25/1992,Equestrian,Individual Jumping; WONDERBOY,,,,
Ahmadreza Talebian,Islamic Republic of Iran,23,185,79,M,5/19/1989,Canoe Sprint,Men's Kayak Single (K1) 1000m,,,,
Ahmed Abd Elgaber,Egypt,22,171,62,M,7/30/1990,Football,Men's Football,,,,
Ahmed Abdulkareem Ahmed,Iraq,20,,,M,4/28/1992,Boxing,Men's Welter (69kg),,,,
Ahmed Al Hatmi,Oman,27,170,70,M,11/27/1984,Shooting,Men's Double Trap,,,,
Ahmed Ali Al Abri,United Arab Emirates,22,171,72,M,1/28/1990,Football,Men's Football,,,,
Ahmed Awad,Egypt,25,165,66,M,01/01/1987,Judo,Men's -66kg,,,,
Ahmed Barki,Morocco,32,,,M,3/16/1980,Boxing,Men's Light Heavy (81kg),,,,
Ahmed El-Nemr,Egypt,33,183,84,M,11/21/1978,Archery,Men's Individual,,,,
Ahmed Elshenawi,Egypt,21,189,83,M,5/14/1991,Football,Men's Football,,,,
Ahmed Fathi Ibrahim,Egypt,27,174,76,M,11/10/1984,Football,Men's Football,,,,
Ahmed Gebrel,Palestine,21,180,73,M,1/22/1991,Swimming,Men's 400m Freestyle,,,,
Ahmed Ghithe G Atari,Qatar,18,179,70,M,05/02/1994,Swimming,Men's 400m Individual Medley,,,,
Ahmed Habash,Egypt,28,178,79,M,4/26/1984,Sailing,Men's RS-X,,,,
Ahmed Hegazi,Egypt,21,196,94,M,1/25/1991,Football,Men's Football,,,,
Ahmed Husam,Maldives,16,175,56,M,11/14/1995,Swimming,Men's 100m Freestyle,,,,
Ahmed Kadhi,Tunisia,23,198,97,M,4/19/1989,Volleyball,Men's Volleyball,,,,
Ahmed Khalil Al Junaibi,United Arab Emirates,21,178,75,M,06/08/1991,Football,Men's Football,,,,
Ahmed Magdy,Egypt,22,172,68,M,12/09/1989,Football,Men's Football,,,,
Ahmed Mathlouthi,Tunisia,22,190,90,M,12/18/1989,Swimming,Men's 200m Freestyle,,,,
Ahmed Mejri,Tunisia,22,172,,M,01/02/1990,Boxing,Men's Light (60kg),,,,
Ahmed Mohamed Al-Merjabi,Oman,21,170,65,M,09/09/1990,Athletics,Men's 400m,,,,
Ahmed Saad,Egypt,25,158,62,M,11/01/1986,Weightlifting,Men's 62kg,,,,
Ahmed Saleh,Egypt,32,179,84,M,11/14/1979,Table Tennis,Men's Team,,,,
Ahmed Yousef Elkawiseh,Libya,23,172,66,M,3/24/1989,Judo,Men's -66kg,,,,
Ahmed Zaher,Egypt,22,172,72,M,12/13/1989,Shooting,Men's Trap,,,,
Ahmet Akdilek,Turkey,24,178,67,M,03/10/1988,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
Ahmet Peker,Turkey,26,160,55,M,12/04/1985,Wrestling,Men's 55kg Freestyle,,,,
Ahreum Na,Republic of Korea,22,162,58,F,3/24/1990,Cycling - Road,Women's Road Race,,,,
Ai Fukuhara,Japan,23,156,48,F,11/01/1988,Table Tennis,Women's Singles; Women's Team,,,,
Ai Kondo,Japan,31,160,58,F,11/05/1980,Sailing,Women's 470,,,,
Ai Murakami,Japan,27,158,53,F,3/18/1985,Hockey,Women's Hockey,,,,
Ai Otomo,Japan,30,184,68,F,3/24/1982,Volleyball,Women's Volleyball,,,,
Ai Wen Yu,Taipei (Chinese Taipei),16,155,53,F,12/27/1995,Shooting,Women's 10m Air Pistol,,,,
Aia Mohamed,Qatar,18,161,57,F,08/01/1994,Table Tennis,Women's Singles,,,,
Aicha Fall,Mauritania,18,160,46,F,12/31/1993,Athletics,Women's 800m,,,,
Aichen Wang,People's Republic of China,27,187,74,M,3/28/1985,Sailing,Men's RS-X,,,,
Aida Mohamed,Hungary,36,162,56,F,03/12/1976,Fencing,Women's Individual Foil,,,,
Aida Roman,Mexico,24,168,61,F,5/21/1988,Archery,Women's Individual; Women's Team,YES,,1,
Aida Shanaeva,Russian Federation,26,178,68,F,4/23/1986,Fencing,Women's Individual Foil; Women's Team Foil,,,,
Aidan Roach,Australia,21,186,92,M,09/07/1990,Water Polo,Men's Water Polo,,,,
Aidan Zingel,Australia,21,207,98,M,11/19/1990,Volleyball,Men's Volleyball,,,,
Aiga Grabuste,Latvia,24,178,55,F,3/24/1988,Athletics,Women's Heptathlon,,,,
Aika Hakoyama,Japan,21,176,,F,7/27/1991,Synchronised Swimming,Women's Teams,,,,
Aileen Morrison,Ireland,30,172,54,F,6/15/1982,Triathlon,Women's Triathlon,,,,
Aimee Willmott,Great Britain,19,172,56,F,2/26/1993,Swimming,Women's 400m Individual Medley,,,,
Aina Fils Rabetsara,Madagascar,18,167,55,F,5/29/1994,Swimming,Women's 100m Freestyle,,,,
Ainars Kovals,Latvia,30,191,100,M,11/21/1981,Athletics,Men's Javelin Throw,,,,
Ainhoa Murua,Spain,34,160,46,F,7/18/1978,Triathlon,Women's Triathlon,,,,
Airi Hatakeyama,Japan,17,170,,F,8/16/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Airine Palsyte,Lithuania,20,186,62,F,7/13/1992,Athletics,Women's High Jump,,,,
Aisling D'hooghe,Belgium,17,169,63,F,8/25/1994,Hockey,Women's Hockey,,,,
Aissata Toure,Guinea,21,164,57,F,9/18/1990,Athletics,Women's 100m,,,,
Aisuluu Tynybekova,Kyrgyzstan,19,170,63,F,05/04/1993,Wrestling,Women's 63kg Freestyle,,,,
Ajara Nchout,Cameroon,19,164,65,F,01/12/1993,Football,Women's Football,,,,
Ajmal Faisal,Afghanistan,21,160,,M,8/14/1990,Boxing,Men's Fly (52kg),,,,
Ajmal Faizzada,Afghanistan,25,173,66,M,5/20/1987,Judo,Men's -66kg,,,,
Ak Hafiy Tajuddin Rositi,Brunei Darussalam,21,175,64,M,07/04/1991,Athletics,Men's 400m,,,,
Akane Shibata,Japan,24,152,50,F,4/30/1988,Hockey,Women's Hockey,,,,
Akari Ogata,Japan,21,171,76,F,9/24/1990,Judo,Women's -78kg,,,,
Akeem Haynes,Canada,20,168,150,M,03/11/1992,Athletics,Men's 4 x 100m Relay,,,,
Akemi Kato,Japan,41,161,58,F,12/13/1970,Hockey,Women's Hockey,,,,
Aki Mitsuhashi,Japan,22,166,55,F,09/12/1989,Hockey,Women's Hockey,,,,
Akihiko Nakamura,Japan,21,180,73,M,10/23/1990,Athletics,Men's 400m Hurdles,,,,
Akihiro Hayashi,Japan,25,194,90,M,05/07/1987,Football,Men's Football,,,,
Akiko Iwamoto,Japan,33,173,60,F,9/25/1978,Rowing,Women's Lightweight Double Sculls,,,,
Akmal Irgashev,Uzbekistan,29,185,,M,12/16/1982,Taekwondo,Men's +80kg,,,,
Akos Molnar,Hungary,25,194,90,M,7/22/1987,Swimming,Men's 200m Breaststroke,,,,
Aksana Dziamidava,Belarus,18,167,54,F,12/23/1993,Swimming,Women's 4x100m Freestyle Relay,,,,
Aksana Miankova,Belarus,30,184,81,F,3/28/1982,Athletics,Women's Hammer Throw,,,,
Aksana Papko,Belarus,23,162,58,F,11/16/1988,Cycling - Track,Women's Team Pursuit,,,,
Akvile Stapusaityte,Lithuania,26,166,56,F,3/25/1986,Badminton,Women's Singles,,,,
Akzhurek Tanatarov,Kazakhstan,25,170,66,M,09/03/1986,Wrestling,Men's 66kg Freestyle,,,,
Al-Farouq Aminu,Nigeria,21,208,,M,9/21/1990,Basketball,Men's Basketball,,,,
Alaaeldin Abouelkassem,Egypt,21,188,82,M,11/25/1990,Fencing,Men's Individual Foil; Men's Team Foil,YES,,1,
Alade Aminu,Nigeria,24,210,,M,9/14/1987,Basketball,Men's Basketball,,,,
Alain Bernard,France,29,196,90,M,05/01/1983,Swimming,Men's 4x100m Freestyle Relay,,,,
Alain Schmitt,France,28,176,81,M,11/02/1983,Judo,Men's -81kg,,,,
Alain Wiss,Switzerland,21,180,73,M,8/21/1990,Football,Men's Football,,,,
Alan Campbell,Great Britain,29,191,96,M,05/09/1983,Rowing,Men's Single Sculls,YES,,,1
Alan Gogaev,Russian Federation,22,170,66,M,03/08/1990,Wrestling,Men's 66kg Freestyle,,,,
Alan Khugaev,Russian Federation,23,178,84,M,4/27/1989,Wrestling,Men's 84kg Greco-Roman,YES,1,,
Alan Pulido,Mexico,21,175,71,M,03/08/1991,Football,Men's Football,,,,
Alan Wills,Great Britain,31,179,84,M,08/03/1981,Archery,Men's Individual; Men's Team,,,,
Alana Boyd,Australia,28,171,59,F,05/10/1984,Athletics,Women's Pole Vault,,,,
Alana Millington,New Zealand,24,171,67,F,6/28/1988,Hockey,Women's Hockey,,,,
Alana Nicholls,Australia,26,172,66,F,04/06/1986,Canoe Sprint,Women's Kayak Single (K1) 500m,,,,
Alastair Wilson,Great Britain,28,187,84,M,12/19/1983,Hockey,Men's Hockey,,,,
Alba Cabello Rodilla,Spain,26,163,,F,4/30/1986,Synchronised Swimming,Women's Teams,,,,
Albert Bravo,Venezuela,24,198,85,M,8/29/1987,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Albert Espanol Lifante,Spain,26,189,86,M,10/29/1985,Water Polo,Men's Water Polo,,,,
Albert Minczer,Hungary,25,179,63,M,10/01/1986,Athletics,Men's 3000m Steeplechase,,,,
Albert Subirats Altes,Venezuela,25,193,88,M,9/25/1986,Swimming,Men's 100m Butterfly,,,,
Alberta Boatema Ampomah,Ghana,17,,80,F,11/03/1994,Weightlifting,Women's +75kg,,,,
Alberto Aguilar,Venezuela,27,194,80,M,03/09/1985,Athletics,Men's 4 x 400m Relay,,,,
Alberto Botia,Spain,23,189,82,M,1/27/1989,Football,Men's Football,,,,
Alberto Busnari,Italy,33,172,,M,10/04/1978,Gymnastics - Artistic,Men's Team; Men's Qualification,,,,
Alberto Ezequiel Melian,Argentina,22,170,,M,01/02/1990,Boxing,Men's Bantam (56kg),,,,
Alberto Fernandez,Spain,29,180,106,M,6/16/1983,Shooting,Men's Trap,,,,
Alberto Michan Halbinger,Mexico,33,173,70,M,12/02/1978,Equestrian,Individual Jumping; Team Jumping; ROSALIA,,,,
Alberto Paulo,Portugal,26,174,59,M,10/03/1985,Athletics,Men's 3000m Steeplechase,,,,
Albina Mayorova,Russian Federation,35,167,50,F,5/16/1977,Athletics,Women's Marathon,,,,
Aldemir da Silva Junior,Brazil,20,,,M,06/08/1992,Athletics,Men's 200m; Men's 4 x 100m Relay,,,,
Aldo Montano,Italy,33,185,80,M,11/18/1978,Fencing,Men's Individual Sabre; Men's Team Sabre,YES,,,0.33
Alec Page,Canada,18,179,73,M,11/08/1993,Swimming,Men's 400m Individual Medley; Men's 4x200m Freestyle Relay,,,,
Aleh Yurenia,Belarus,22,186,90,M,5/21/1990,Canoe Sprint,Men's Kayak Single (K1) 1000m,,,,
Alejandra Benitez,Venezuela,32,162,58,F,07/07/1980,Fencing,Women's Individual Sabre,,,,
Alejandra Orozco Loza,Mexico,15,156,47,F,4/19/1997,Diving,Women's Synchronised 10m Platform,YES,,0.2,
Alejandra Quereda,Spain,20,175,,F,7/24/1992,Gymnastics - Rhythmic,Group All-Around,,,,
Alejandra Valencia,Mexico,17,176,74,F,10/17/1994,Archery,Women's Individual; Women's Team,,,,
Alejandra Zavala,Mexico,28,163,82,F,6/16/1984,Shooting,Women's 10m Air Pistol,,,,
Alejandro Falla,Colombia,28,181,82,M,11/14/1983,Tennis,Men's Singles,,,,
Alejandro Foglia Costa,Uruguay,28,189,84,M,1/30/1984,Sailing,Men's Laser,,,,
Alejandro Gomez Perez,Venezuela,27,184,77,M,4/22/1985,Swimming,Men's 1500m Freestyle,,,,
Alejandro Madorno,Argentina,40,183,73,M,12/12/1971,Equestrian,Individual Jumping; MILANO DE FLORE,,,,
Alejandro Silva,Uruguay,22,178,69,M,09/04/1989,Football,Men's Football,,,,
Alejandro Valverde Belmonte,Spain,32,176,62,M,4/25/1980,Cycling - Road,Men's Road Race,,,,
Alejandro Zuniga,Chile,24,163,66,M,05/12/1988,Judo,Men's -66kg,,,,
Aleks Maric,Australia,27,211,125,M,10/22/1984,Basketball,Men's Basketball,,,,
Aleksa Saponjic,Serbia,20,191,98,M,06/04/1992,Water Polo,Men's Water Polo,,,,
Aleksandar Aleksandrov,Bulgaria,27,164,,M,10/31/1984,Boxing,Men's Light Fly (49kg),,,,
Aleksandar Aleksandrov,Azerbaijan,22,189,94,M,04/09/1990,Rowing,Men's Single Sculls,,,,
Aleksandar Aleksic,Serbia,20,188,89,M,4/13/1992,Canoe Sprint,Men's Kayak Four (K4) 1000m,,,,
Aleksandar Atanasijevic,Serbia,20,200,84,M,09/04/1991,Volleyball,Men's Volleyball,,,,
Aleksandar Drenovak,Serbia,28,182,,M,12/30/1983,Boxing,Men's Middle (75kg),,,,
Aleksandar Ivovic,Montenegro,26,197,105,M,2/24/1986,Water Polo,Men's Water Polo,,,,
Aleksandar Karakasevic,Serbia,36,180,84,M,12/09/1975,Table Tennis,Men's Singles,,,,
Aleksandar Maksimovic,Serbia,24,180,66,M,2/26/1988,Wrestling,Men's 66kg Greco-Roman,,,,
Aleksandar Stoyanov Kostadinov,Bulgaria,24,160,55,M,7/28/1988,Wrestling,Men's 55kg Greco-Roman,,,,
Aleksander Lesun,Russian Federation,24,182,75,M,07/01/1988,Modern Pentathlon,Men's Modern Pentathlon,,,,
Aleksander Tammert,Estonia,39,196,124,M,02/02/1973,Athletics,Men's Discus Throw,,,,
Aleksandr Balandin,Russian Federation,23,165,,M,6/20/1989,Gymnastics - Artistic,Men's Team; Men's Qualification,,,,
Aleksandr Gutor,Belarus,23,190,83,M,4/18/1989,Football,Men's Football,,,,
