Angie Winstanley - Smith,Great Britain,26,179,62,F,08/05/1985,Water Polo,Women's Water Polo,,,,
Anita Asante,Great Britain,27,166,64,F,4/27/1985,Football,Women's Football,,,,
Anna Bentley,Great Britain,31,183,73,F,1/28/1981,Fencing,Women's Individual Foil; Women's Team Foil,,,,
Anna Watkins,Great Britain,29,183,78,F,2/13/1983,Rowing,Women's Double Sculls,YES,1,,
Annabel Vernon,Great Britain,29,178,75,F,09/01/1982,Rowing,Women's Eight,,,,
Anne Keothavong,Great Britain,28,174,63,F,9/16/1983,Tennis,Women's Singles; Women's Doubles,,,,
Anne Panter,Great Britain,28,170,62,F,1/28/1984,Hockey,Women's Hockey,,,,
Annie Last,Great Britain,21,167,60,F,09/07/1990,Cycling - Mountain Bike,Women's Cross-country,,,,
Annie Lush,Great Britain,32,178,77,F,04/11/1980,Sailing,Women's Elliott 6m,,,,
Anthony Joshua,Great Britain,22,198,,M,10/15/1989,Boxing,Men's Super Heavy (+91kg),,,,
Anthony Ogogo,Great Britain,23,181,,M,11/24/1988,Boxing,Men's Middle (75kg),YES,,,1
Antony James,Great Britain,22,180,75,M,11/05/1989,Swimming,Men's 100m Butterfly,,,,
Anyika Onuora,Great Britain,27,178,72,F,10/28/1984,Athletics,Women's 100m; Women's 200m,,,,
Ashleigh Ball,Great Britain,26,181,70,F,3/25/1986,Hockey,Women's Hockey,,,,
Ashley Jackson,Great Britain,24,155,71,M,8/27/1987,Hockey,Men's Hockey,,,,
Ashley Mckenzie,Great Britain,23,162,60,M,7/17/1989,Judo,Men's -60kg,,,,
Azania Stewart,Great Britain,23,194,89,F,3/13/1989,Basketball,Women's Basketball,,,,
Barbara Parker,Great Britain,29,171,52,F,11/08/1982,Athletics,Women's 3000m Steeplechase; Women's 5000m,,,,
Barry Middleton,Great Britain,28,178,68,M,01/12/1984,Hockey,Men's Hockey,,,,
Beckie Kershaw,Great Britain,21,175,59,F,08/11/1990,Water Polo,Women's Water Polo,,,,
Ben Ainslie,Great Britain,35,183,90,M,02/05/1977,Sailing,Men's Finn,YES,1,,
Ben Hawes,Great Britain,32,176,76,M,7/28/1980,Hockey,Men's Hockey,,,,
Ben Maher,Great Britain,29,187,68,M,1/30/1983,Equestrian,Individual Jumping; Team Jumping; TRIPPLE X,YES,0.25,,
Ben Rhodes,Great Britain,31,183,72,M,05/10/1981,Sailing,Men's 49er,,,,
Bill Lucas,Great Britain,24,199,100,M,9/13/1987,Rowing,Men's Double Sculls,,,,
Bradley Wiggins,Great Britain,32,190,77,M,4/28/1980,Cycling - Road; Cycling - Track,Men's Individual Time Trial; Men's Road Race,YES,1,,
Brett Morse,Great Britain,23,190,110,M,02/11/1989,Athletics,Men's Discus Throw,,,,
Britt Goodwin,Great Britain,29,163,68,F,4/24/1983,Handball,Women's Handball,,,,
Bryony Shaw,Great Britain,29,167,60,F,4/28/1983,Sailing,Women's RS-X,,,,
Caitlin Mcclatchey,Great Britain,26,170,57,F,11/28/1985,Swimming,Women's 200m Freestyle; Women's 4x100m Freestyle Relay; Women's 4x200m Freestyle Relay,,,,
Carl Hester,Great Britain,45,183,81,M,6/29/1967,Equestrian,Individual Dressage; Team Dressage; UTHOPIA,YES,0.33,,
Carl Myerscough,Great Britain,32,208,160,M,10/21/1979,Athletics,Men's Shot Put; Men's Discus Throw,,,,
Caroline O'connor,Great Britain,29,157,48,F,4/25/1983,Rowing,Women's Eight,,,,
Casey Stoney,Great Britain,30,173,64,F,5/13/1982,Football,Women's Football,,,,
Chantelle Handy,Great Britain,25,191,74,F,6/16/1987,Basketball,Women's Basketball,,,,
Charles Cousins,Great Britain,23,198,100,M,12/13/1988,Rowing,Men's Quadruple Sculls,,,,
Charlotte Dujardin,Great Britain,27,170,61,F,7/13/1985,Equestrian,Individual Dressage; Team Dressage; VALEGRO,YES,1.33,,
Charlotte Kerwood,Great Britain,25,172,69,F,9/15/1986,Shooting,Women's Trap,,,,
Chloe Rogers,Great Britain,27,161,57,F,3/30/1985,Hockey,Women's Hockey,,,,
Chloe Wilcox,Great Britain,25,172,62,F,12/20/1986,Water Polo,Women's Water Polo,,,,
Chris Adcock,Great Britain,23,183,80,M,4/27/1989,Badminton,Mixed Doubles,,,,
Chris Bartley,Great Britain,28,178,73,M,02/02/1984,Rowing,Men's Lightweight Four,YES,,0.25,
Chris Hoy,Great Britain,36,185,93,M,3/23/1976,Cycling - Track,Men's Keirin; Men's Team Sprint,YES,1.33,,
Chris Mears,Great Britain,19,172,70,M,02/07/1993,Diving,Men's 3m Springboard; Men's Synchronised 3m Springboard,,,,
Chris Walker-Hebborn,Great Britain,22,184,80,M,07/01/1990,Swimming,Men's 100m Backstroke; Men's 200m Backstroke,,,,
Christian Malcolm,Great Britain,33,178,71,M,06/03/1979,Athletics,Men's 200m,,,,
Christine Ohuruogu,Great Britain,28,158,68,F,5/17/1984,Athletics,Women's 400m; Women's 4 x 400m Relay,YES,,1,
Christopher Froome,Great Britain,27,185,71,M,5/20/1985,Cycling - Road,Men's Individual Time Trial; Men's Road Race,YES,,,1
Christopher Lamont,Great Britain,29,200,80,M,12/07/1982,Volleyball,Men's Volleyball,,,,
Christopher McDermott,Great Britain,23,204,105,M,06/07/1989,Handball,Men's Handball,,,,
Christopher Mohr,Great Britain,22,187,83,M,01/12/1990,Handball,Men's Handball,,,,
Christopher Thompson,Great Britain,31,178,67,M,4/17/1981,Athletics,Men's 10;000m,,,,
Ciara Gibson-Byrne,Great Britain,19,167,59,F,12/03/1992,Water Polo,Women's Water Polo,,,,
Ciara Michel,Great Britain,27,194,70,F,07/02/1985,Volleyball,Women's Volleyball,,,,
Ciaran James,Great Britain,21,193,93,M,07/05/1991,Water Polo,Men's Water Polo,,,,
Ciaran Williams,Great Britain,24,183,81,M,12/22/1987,Handball,Men's Handball,,,,
Claire Hallissey,Great Britain,29,164,48,F,3/17/1983,Athletics,Women's Marathon,,,,
Colin Fleming,Great Britain,27,188,78,M,8/13/1984,Tennis,Men's Doubles,,,,
Colin Oates,Great Britain,29,181,66,M,06/07/1983,Judo,Men's -66kg,,,,
Conrad Williams,Great Britain,30,182,75,M,3/20/1982,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Constantine Louloudis,Great Britain,20,190,94,M,9/15/1991,Rowing,Men's Eight,YES,,,0.111
Corinna Lawrence,Great Britain,22,168,63,F,6/25/1990,Fencing,Women's Individual Epee,,,,
Craig Bellamy,Great Britain,33,175,64,M,7/13/1979,Football,Men's Football,,,,
Craig Benson,Great Britain,18,183,76,M,4/30/1994,Swimming,Men's 100m Breaststroke; Men's 4x100m Medley Relay,,,,
Craig Dawson,Great Britain,22,188,78,M,05/06/1990,Football,Men's Football,,,,
Craig Figes,Great Britain,33,183,90,M,8/14/1978,Water Polo,Men's Water Polo,,,,
Craig Gibbons,Great Britain,26,178,84,M,11/29/1985,Swimming,Men's 4x100m Freestyle Relay,,,,
Crista Cullen,Great Britain,26,182,75,F,8/20/1985,Hockey,Women's Hockey,,,,
Dan Clark,Great Britain,23,210,109,M,9/16/1988,Basketball,Men's Basketball,,,,
Dan Fox,Great Britain,29,183,79,M,03/03/1983,Hockey,Men's Hockey,,,,
Dani King,Great Britain,21,175,62,F,11/21/1990,Cycling - Track,Women's Team Pursuit,YES,0.33,,
Daniel Awde,Great Britain,24,182,82,M,6/22/1988,Athletics,Men's Decathlon,,,,
Daniel Fogg,Great Britain,24,179,74,M,8/24/1987,Swimming,Men's 1500m Freestyle; Men's 10km Marathon,,,,
Daniel Hunter,Great Britain,22,183,83,M,1/23/1990,Volleyball,Men's Volleyball,,,,
Daniel McMillan,Great Britain,29,189,93,M,08/12/1982,Handball,Men's Handball,,,,
Daniel Purvis,Great Britain,21,168,,M,11/13/1990,Gymnastics - Artistic,Men's Individual All-Around; Men's Team; Men's Qualification,YES,,,0.2
Daniel Talbot,Great Britain,21,184,69,M,05/01/1991,Athletics,Men's 4 x 100m Relay,,,,
Daniel Williams,Great Britain,23,177,73,M,4/20/1989,Judo,Men's -73kg,,,,
Danny Rose,Great Britain,22,170,73,M,07/02/1990,Football,Men's Football,,,,
Dave Davies,Great Britain,27,190,84,M,03/03/1985,Swimming,Men's 1500m Freestyle,,,,
David Carry,Great Britain,30,184,75,M,10/08/1981,Swimming,Men's 400m Freestyle; Men's 4x200m Freestyle Relay,,,,
David Florence,Great Britain,29,188,77,M,08/08/1982,Canoe Slalom,Men's Canoe Single (C1); Men's Canoe Double (C2),YES,,0.5,
David Greene,Great Britain,26,185,78,M,04/11/1986,Athletics,Men's 400m Hurdles,,,,
David Millar,Great Britain,35,191,78,M,01/04/1977,Cycling - Road,Men's Road Race,,,,
Debbie Flood,Great Britain,32,177,75,F,2/27/1980,Rowing,Women's Quadruple Sculls,,,,
Dominic King,Great Britain,29,178,70,M,5/30/1983,Athletics,Men's 50km Race Walk,,,,
Dominique Allen,Great Britain,22,188,86,F,09/10/1989,Basketball,Women's Basketball,,,,
Drew Sullivan,Great Britain,32,202,98,M,02/12/1980,Basketball,Men's Basketball,,,,
Dunia Susi,Great Britain,24,169,63,F,08/10/1987,Football,Women's Football,,,,
Dwain Chambers,Great Britain,34,,,M,04/05/1978,Athletics,Men's 100m; Men's 4 x 100m Relay,,,,
Ed Mckeever,Great Britain,28,173,79,M,8/27/1983,Canoe Sprint,Men's Kayak Single (K1) 200m,,,,
Ed Scott,Great Britain,24,197,85,M,5/28/1988,Water Polo,Men's Water Polo,,,,
Edward Clancy,Great Britain,27,186,77,M,03/12/1985,Cycling - Track,Men's Omnium; Men's Team Pursuit,YES,0.25,,1
Edward Ling,Great Britain,29,178,76,M,03/07/1983,Shooting,Men's Trap,,,,
Eilidh Child,Great Britain,25,171,59,F,2/20/1987,Athletics,Women's 400m Hurdles,,,,
Eilish McColgan,Great Britain,21,154,53,F,11/25/1990,Athletics,Women's 3000m Steeplechase,,,,
Elena Allen,Great Britain,40,169,67,F,07/12/1972,Shooting,Women's Skeet,,,,
Elena Baltacha,Great Britain,28,175,70,F,8/14/1983,Tennis,Women's Singles; Women's Doubles,,,,
Elizabeth Armitstead,Great Britain,23,168,57,F,12/18/1988,,,YES,,1,
Elizabeth Reid,Great Britain,23,173,60,F,3/21/1989,Volleyball,Women's Volleyball,,,,
Elizabeth Simmonds,Great Britain,21,171,60,F,1/22/1991,Swimming,Women's 200m Backstroke,,,,
Elizabeth Storry,Great Britain,34,173,74,F,4/24/1978,Hockey,Women's Hockey,,,,
Elizabeth Tweddle,Great Britain,27,160,,F,04/01/1985,Gymnastics - Artistic,Women's Team; Women's Qualification,YES,,,1
Ellen Gandy,Great Britain,20,169,62,F,8/15/1991,Swimming,Women's 100m Butterfly; Women's 200m Butterfly,,,,
Ellen White,Great Britain,23,170,58,F,05/09/1989,Football,Women's Football,,,,
Ellie Faulkner,Great Britain,19,165,55,F,01/05/1993,Swimming,Women's 800m Freestyle; Women's 4x200m Freestyle Relay,,,,
Emily Diamond,Great Britain,21,173,58,F,06/11/1991,Athletics,Women's 4 x 400m Relay,,,,
Emily Maguire,Great Britain,24,169,61,F,12/17/1987,Hockey,Women's Hockey,,,,
Emma Higgins,Great Britain,26,,,F,5/15/1986,Football,Women's Football,,,,
Emma Pooley,Great Britain,29,157,48,F,10/03/1982,Cycling - Road,Women's Individual Time Trial; Women's Road Race,,,,
Eniola Aluko,Great Britain,25,157,56,F,2/21/1987,Football,Women's Football,,,,
Eric Boateng,Great Britain,26,211,114,M,11/20/1985,Basketball,Men's Basketball,,,,
Etienne Stott,Great Britain,33,182,83,M,6/30/1979,Canoe Slalom,Men's Canoe Double (C2),YES,0.5,,
Euan Burton,Great Britain,33,182,81,M,3/31/1979,Judo,Men's -81kg,,,,
Ewa Palies,Great Britain,23,173,73,F,1/30/1989,Handball,Women's Handball,,,,
Fara Williams,Great Britain,28,164,61,F,1/25/1984,Football,Women's Football,,,,
Fiona McCann,Great Britain,25,172,66,F,5/13/1987,Water Polo,Women's Water Polo,,,,
Fran Leighton,Great Britain,30,182,68,F,3/30/1982,Water Polo,Women's Water Polo,,,,
Frances Houghton,Great Britain,31,193,81,F,9/19/1980,Rowing,Women's Quadruple Sculls,,,,
Francesca Clayton,Great Britain,22,170,69,F,01/07/1990,Water Polo,Women's Water Polo,,,,
Francesca Fox,Great Britain,20,167,,F,6/13/1992,Gymnastics - Rhythmic,Group All-Around,,,,
Francesca Halsall,Great Britain,22,172,59,F,04/12/1990,Swimming,Women's 50m Freestyle; Women's 100m Freestyle; Women's 100m Butterfly; Women's 4x100m Freestyle Relay,,,,
Francesca Jones,Great Britain,21,172,,F,11/09/1990,Gymnastics - Rhythmic,Individual All-Around,,,,
Francesca Painter-Snell,Great Britain,25,175,63,F,3/28/1987,Water Polo,Women's Water Polo,,,,
Freddie Evans,Great Britain,21,180,,M,02/04/1991,Boxing,Men's Welter (69kg),,,,
Freya Murray,Great Britain,28,158,44,F,9/20/1983,Athletics,Women's Marathon,,,,
Gareth Evans,Great Britain,26,169,68,M,4/18/1986,Weightlifting,Men's 69kg,,,,
Gareth Warburton,Great Britain,29,186,72,M,4/23/1983,Athletics,Men's 800m,,,,
Gawain Vincent,Great Britain,22,186,83,M,03/09/1990,Handball,Men's Handball,,,,
Gemma Gibbons,Great Britain,25,173,77,F,01/06/1987,Judo,Women's -78kg,YES,,1,
Gemma Howell,Great Britain,22,165,59,F,6/13/1990,Judo,Women's -63kg,,,,
Gemma Spofforth,Great Britain,24,183,85,F,11/17/1987,Swimming,Women's 100m Backstroke; Women's 4x100m Medley Relay,,,,
George Nash,Great Britain,22,195,97,M,10/02/1989,Rowing,Men's Pair,YES,,,0.5
Georgia Davies,Great Britain,21,175,60,F,10/11/1990,Swimming,Women's 100m Backstroke; Women's 4x100m Medley Relay,,,,
Georgie Twigg,Great Britain,21,170,65,F,11/21/1990,Hockey,Women's Hockey,,,,
Georgina Cassar,Great Britain,18,170,,F,09/09/1993,Gymnastics - Rhythmic,Group All-Around,,,,
Georgina Geikie,Great Britain,27,171,56,F,12/06/1984,Shooting,Women's 10m Air Pistol; Women's 25m Pistol,,,,
Geraint Thomas,Great Britain,26,183,71,M,5/25/1986,Cycling - Road; Cycling - Track,Men's Team Pursuit,YES,0.25,,
Glenn Kirkham,Great Britain,29,180,80,M,10/08/1982,Hockey,Men's Hockey,,,,
Goldie Sayers,Great Britain,30,171,70,F,7/16/1982,Athletics,Women's Javelin Throw,,,,
Grace Carter,Great Britain,22,183,78,F,08/10/1989,Volleyball,Women's Volleyball,,,,
Greg Rutherford,Great Britain,25,188,87,M,11/17/1986,Athletics,Men's Long Jump,YES,1,,
Greg Searle,Great Britain,40,197,97,M,3/20/1972,Rowing,Men's Eight,YES,,,0.111
Hannah England,Great Britain,25,177,54,F,03/06/1987,Athletics,Women's 1500m,,,,
Hannah Macleod,Great Britain,28,172,67,F,06/09/1984,Hockey,Women's Hockey,,,,
Hannah Miley,Great Britain,22,166,53,F,08/08/1989,Swimming,Women's 200m Individual Medley; Women's 400m Individual Medley; Women's 4x200m Freestyle Relay,,,,
Hannah Mills,Great Britain,24,157,50,F,2/29/1988,Sailing,Women's 470,YES,,0.5,
Hannah Starling,Great Britain,17,158,59,F,06/12/1995,Diving,Women's 3m Springboard,,,,
Hannah Whelan,Great Britain,20,160,,F,07/01/1992,Gymnastics - Artistic,Women's Individual All-Around; Women's Team; Women's Qualification,,,,
Harry Martin,Great Britain,19,182,77,M,10/23/1992,Hockey,Men's Hockey,,,,
Hazel Musgrove,Great Britain,23,170,65,F,02/06/1989,Water Polo,Women's Water Polo,,,,
Heather Stanning,Great Britain,27,181,74,F,1/26/1985,Rowing,Women's Pair,YES,0.5,,
Heather Watson,Great Britain,20,168,64,F,5/19/1992,Tennis,Women's Singles; Women's Doubles,,,,
Helen Glover,Great Britain,26,178,70,F,6/17/1986,Rowing,Women's Pair,YES,0.5,,
Helen Jenkins,Great Britain,28,169,55,F,03/08/1984,Triathlon,Women's Triathlon,,,,
Helen Richardson,Great Britain,30,165,54,F,9/23/1981,Hockey,Women's Hockey,,,,
Holly Bleasdale,Great Britain,20,175,70,F,11/02/1991,Athletics,Women's Pole Vault,,,,
Holly Lam-Moores,Great Britain,21,169,59,F,09/12/1990,Handball,Women's Handball,,,,
Husayn Rosowsky,Great Britain,21,183,76,M,04/10/1991,Fencing,Men's Individual Foil; Men's Team Foil,,,,
Iain Lewers,Great Britain,28,183,79,M,01/05/1984,Hockey,Men's Hockey,,,,
Iain Mackay,Great Britain,27,180,75,M,4/24/1985,Hockey,Men's Hockey,,,,
Iain Percy,Great Britain,36,187,95,M,3/21/1976,Sailing,Men's Star,YES,,0.5,
Ian Stannard,Great Britain,25,190,80,M,5/25/1987,Cycling - Road,Men's Road Race,,,,
Ieuan Lloyd,Great Britain,19,193,83,M,07/09/1993,Swimming,Men's 200m Freestyle; Men's 4x200m Freestyle Relay,,,,
Ifeoma Dieke,Great Britain,31,165,63,F,2/25/1981,Football,Women's Football,,,,
Imogen Bankier,Great Britain,24,167,65,F,11/18/1987,Badminton,Mixed Doubles,,,,
Imogen Cairns,Great Britain,23,156,,F,1/26/1989,Gymnastics - Artistic,Women's Team; Women's Qualification,,,,
Jack Butland,Great Britain,19,195,95,M,03/10/1993,Football,Men's Football,,,,
Jack Cork,Great Britain,23,185,69,M,6/25/1989,Football,Men's Football,,,,
Jack Green,Great Britain,20,194,80,M,10/06/1991,Athletics,Men's 400m Hurdles,,,,
Jack Laugher,Great Britain,17,166,65,M,1/30/1995,Diving,Men's 3m Springboard,,,,
Jack Oliver,Great Britain,21,168,76,M,01/04/1991,Weightlifting,Men's 77kg,,,,
Jack Waller,Great Britain,22,187,95,M,10/06/1989,Water Polo,Men's Water Polo,,,,
Jade Faulkner,Great Britain,18,162,,F,12/21/1993,Gymnastics - Rhythmic,Group All-Around,,,,
Jade Jones,Great Britain,19,156,,F,3/21/1993,Taekwondo,Women's -57kg,YES,1,,
Jake Vincent,Great Britain,23,197,98,M,6/24/1989,Water Polo,Men's Water Polo,,,,
James Austin,Great Britain,29,188,100,M,04/05/1983,Judo,Men's -100kg,,,,
James Charles Huckle,Great Britain,21,168,60,M,9/17/1990,Shooting,Men's 10m Air Rifle; Men's 50m Rifle Prone; Men's 50m Rifle 3 Positions,,,,
James Dasaolu,Great Britain,24,186,87,M,09/05/1987,Athletics,Men's 100m; Men's 4 x 100m Relay,,,,
James Disney-May,Great Britain,19,192,78,M,08/04/1992,Swimming,Men's 4x100m Freestyle Relay,,,,
James Ellington,Great Britain,26,179,81,M,09/06/1985,Athletics,Men's 200m,,,,
James Fair,Great Britain,31,185,79,M,01/08/1981,Hockey,Men's Hockey,,,,
James Foad,Great Britain,25,185,90,M,3/20/1987,Rowing,Men's Eight,YES,,,0.111
James Goddard,Great Britain,29,183,82,M,3/30/1983,Swimming,Men's 200m Individual Medley,,,,
James Honeybone,Great Britain,21,192,81,M,01/11/1991,Fencing,Men's Individual Sabre,,,,
James-Andrew Davis,Great Britain,21,194,99,M,07/03/1991,Fencing,Men's Individual Foil; Men's Team Foil,,,,
Jamie Murray,Great Britain,26,190,82,M,2/13/1986,Tennis,Men's Doubles,,,,
Jane Mayes,Great Britain,23,173,88,F,01/10/1989,Handball,Women's Handball,,,,
Jane Ross,Great Britain,22,167,57,F,9/18/1989,Football,Women's Football,,,,
Janine Sandell,Great Britain,26,177,82,F,12/07/1985,Volleyball,Women's Volleyball,,,,
Jason Haldane,Great Britain,41,203,106,M,7/23/1971,Volleyball,Men's Volleyball,,,,
Jason Kenny,Great Britain,24,177,80,M,3/23/1988,Cycling - Track,Men's Sprint; Men's Team Sprint,YES,1.33,,
Jason Steele,Great Britain,21,190,87,M,8/18/1990,Football,Men's Football,,,,
Jemma Lowe,Great Britain,22,171,58,F,3/31/1990,Swimming,Women's 200m Butterfly; Women's 4x100m Medley Relay,,,,
Jenaya Wade-Fray,Great Britain,23,175,65,F,09/05/1988,Basketball,Women's Basketball,,,,
Jennifer Knobbs,Great Britain,23,155,,F,5/19/1989,Synchronised Swimming,Women's Teams,,,,
Jennifer Mcintosh,Great Britain,21,175,71,F,6/17/1991,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Jennifer Pinches,Great Britain,18,160,,F,5/25/1994,Gymnastics - Artistic,Women's Team; Women's Qualification,,,,
Jesper Parker,Great Britain,28,200,100,M,4/18/1984,Handball,Men's Handball,,,,
Jess Lloyd,Great Britain,17,178,80,F,3/14/1995,Swimming,Women's 4x100m Freestyle Relay,,,,
Jess Walker,Great Britain,22,177,72,F,6/24/1990,Canoe Sprint,Women's Kayak Single (K1) 200m; Women's Kayak Four (K4) 500m,,,,
Jessica Clarke,Great Britain,23,163,55,F,05/05/1989,Football,Women's Football,,,,
Jessica Eddie,Great Britain,27,178,75,F,10/07/1984,Rowing,Women's Eight,,,,
Jessica Ennis,Great Britain,26,165,57,F,1/28/1986,Athletics,Women's 100m Hurdles; Women's Heptathlon,YES,1,,
Jessica Varnish,Great Britain,21,167,69,F,11/19/1990,Cycling - Track,Women's Team Sprint,,,,
Jill Scott,Great Britain,25,181,64,F,02/02/1987,Football,Women's Football,,,,
Joanna Parker,Great Britain,25,178,63,F,06/10/1987,Table Tennis,Women's Singles; Women's Team,,,,
Joanna Rowsell,Great Britain,23,180,64,F,12/05/1988,Cycling - Track,Women's Team Pursuit,YES,0.33,,
Joanne Jackson,Great Britain,25,185,76,F,09/12/1986,Swimming,Women's 400m Freestyle; Women's 4x200m Freestyle Relay,,,,
Joanne Morgan,Great Britain,28,170,60,F,10/07/1983,Volleyball,Women's Volleyball,,,,
Joanne Pavey,Great Britain,38,162,49,F,9/20/1973,Athletics,Women's 5000m; Women's 10;000m,,,,
Joe Allen,Great Britain,22,170,65,M,3/14/1990,Football,Men's Football,,,,
Joe Roebuck,Great Britain,27,188,80,M,06/05/1985,Swimming,Men's 200m Butterfly; Men's 200m Individual Medley; Men's 400m Individual Medley,,,,
Joel Freeland,Great Britain,25,211,111,M,02/07/1987,Basketball,Men's Basketball,,,,
Joel Miller,Great Britain,23,191,86,M,12/15/1988,Volleyball,Men's Volleyball,,,,
Johanna Jackson,Great Britain,27,170,55,F,1/17/1985,Athletics,Women's 20km Race Walk,,,,
Johannah Leedham,Great Britain,24,178,76,F,12/05/1987,Basketball,Women's Basketball,,,,
John Garcia-Thompson,Great Britain,33,192,92,M,06/08/1979,Beach Volleyball,Men's Beach Volleyball,,,,
John Pearce,Great Britain,24,190,88,M,11/23/1987,Handball,Men's Handball,,,,
Jon Schofield,Great Britain,27,182,80,M,05/10/1985,Canoe Sprint,Men's Kayak Double (K2) 200m,,,,
Jonathan Brownlee,Great Britain,22,178,68,M,4/30/1990,Triathlon,Men's Triathlon,YES,,,1
Jonathan Clarke,Great Britain,31,184,79,M,1/28/1981,Hockey,Men's Hockey,,,,
Jonathan Hammond,Great Britain,31,186,75,M,10/01/1980,Shooting,Men's 50m Rifle Prone; Men's 50m Rifle 3 Positions,,,,
Jordan Rhodes,Great Britain,22,185,83,M,02/05/1990,Football,Men's Football,,,,
Joseph O`regan,Great Britain,21,203,105,M,6/22/1991,Water Polo,Men's Water Polo,,,,
Julia Bleasdale,Great Britain,30,167,46,F,09/09/1981,Athletics,Women's 5000m; Women's 10;000m,,,,
Julie Page,Great Britain,29,188,85,F,4/21/1983,Basketball,Women's Basketball,,,,
Karen Bardsley,Great Britain,27,181,69,F,10/14/1984,Football,Women's Football,,,,
Karen Carney,Great Britain,25,163,55,F,08/01/1987,Football,Women's Football,,,,
Karina Bryant,Great Britain,33,184,103,F,1/27/1979,Judo,Women's +78kg,YES,,,1
Katarina Johnson-Thompson,Great Britain,19,183,68,F,01/09/1993,Athletics,Women's Heptathlon,,,,
Kate Dennison,Great Britain,28,171,60,F,05/07/1984,Athletics,Women's Pole Vault,,,,
Kate Haywood,Great Britain,25,178,68,F,04/01/1987,Swimming,Women's 100m Breaststroke,,,,
